,confidence,Num of low conf images,alpha,Number of weights zeroed,ECE,Accuracy,Classes present
0,0.3,2,0.001,797,0.24585517683327196,59.62,"{1: 1, 7: 1}"
1,0.35,9,0.001,405,0.16767983806282283,69.81,"{0: 2, 1: 1, 2: 3, 3: 1, 6: 1, 7: 1}"
2,0.4,29,0.001,299,0.12784399622082712,76.71,"{0: 5, 1: 1, 2: 8, 3: 2, 4: 2, 5: 4, 6: 2, 7: 4, 8: 1}"
3,0.45,52,0.001,158,0.12200303176343444,78.3,"{0: 7, 1: 1, 2: 13, 3: 7, 4: 6, 5: 7, 6: 4, 7: 4, 8: 2, 9: 1}"
4,0.5,93,0.001,33,0.0813874127179384,84.23,"{0: 13, 1: 2, 2: 18, 3: 17, 4: 12, 5: 12, 6: 5, 7: 7, 8: 3, 9: 4}"
5,0.55,177,0.001,0,0.0796285350769758,85.25,"{0: 20, 1: 7, 2: 26, 3: 32, 4: 22, 5: 22, 6: 15, 7: 13, 8: 8, 9: 12}"
6,0.6,249,0.001,0,0.07632090911865239,85.67,"{0: 22, 1: 12, 2: 36, 3: 43, 4: 35, 5: 31, 6: 18, 7: 21, 8: 13, 9: 18}"
7,0.65,335,0.001,13,0.0719564853847027,85.95,"{0: 27, 1: 18, 2: 45, 3: 63, 4: 48, 5: 38, 6: 29, 7: 30, 8: 15, 9: 22}"
8,0.7,421,0.001,4,0.07291068517863754,86.02,"{0: 33, 1: 21, 2: 60, 3: 78, 4: 56, 5: 50, 6: 36, 7: 40, 8: 20, 9: 27}"
9,0.75,540,0.001,0,0.07512009350359442,85.83,"{0: 46, 1: 31, 2: 76, 3: 97, 4: 71, 5: 70, 6: 40, 7: 48, 8: 26, 9: 35}"
10,0.8,667,0.001,0,0.07404694582819936,85.96,"{0: 56, 1: 44, 2: 82, 3: 117, 4: 86, 5: 90, 6: 54, 7: 58, 8: 35, 9: 45}"
